,yelpid,name,lat,lng,distance miles,distance meters,price rating,price value,review count,review rating,type,sub type,address1,city,state,zip,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
0,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,iP-ARrjqnobZSf34oQFJpg,0.7506,0.268,0.064,0.669,"Good weekly Thai food @our Farmer's Market on Thursday's.

Ingredients are fresh and the staff is friendly. The only downside is the wait time...

I...",2017-07-27 12:21:45,Randy W.,-2CainXEr63oltxnExHGgg
1,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,_odtz8ELynWfQXTdT1oc3Q,0.6542,0.16,0.0,0.84,"I agree with other yelpers saying the wait can be long. We came to order around 11:35, and didn't get our food till 12ish. It's not bad really, it's just if...",2018-03-01 15:43:14,An L.,Nl7_kl_3QbEexPFud0xobg
2,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,l1zsiDmhiz45pqsouMDTkg,0.7712,0.233,0.0,0.767,Legit ! I wish they had a restaurant because I would be a regular.  The food is delicious.  It's a very small mom and pop operation which sets up a small...,2018-03-20 16:15:59,Michael D.,7ymjgHryA31FIrKsm9KyXA
3,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,UHOrEpFnxx0KahPE1_7eEg,-0.2331,0.14,0.168,0.692,"I regret taking so long, before giving this place a chance. 
I can't find anything to complain about at all!

This place is the place to go if you're a...",2018-09-04 02:32:01,Jay T.,akCFGWeFBplM1gAPn9WVuA
4,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,TOfx4JYJFOwR6C_GAMHIaw,0.6249,0.151,0.0,0.849,Went here today with a co-worker who has Celiac.  This is a great place for people who are on a gluten-free diet.  Everything on their menu is...,2018-08-30 17:53:35,R K.,68SZpGCrih_qGxH_VO6Afw
5,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,LjjJIWbfvZ_U8a5ds4Q7kQ,0.128,0.143,0.16,0.697,"This restaurant's concept is great and we need more of this ""chipotle-style"" Asian food offerings.  But this eatery unfortunately missed the mark for...",2018-08-04 13:28:30,Jamie K.,_XVYEiZ9-yTccatE5nDGCQ
6,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,l494ULP1iVNdHqfmybB1qQ,0.0,0.0,0.0,1.0,"I have been a customer at Hen House Grill since 2014, back in the day when they were located on Culver. The management has not changed, and they still...",2018-07-26 20:38:13,Henry L.,YoDrEM2wQmsALuc2IovqXQ
7,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,2M_Bd_nxOJ1J0vFsjW9FEw,0.5719,0.134,0.0,0.866,"First time here

After watching Shahs of Sunset, when they were celebrating Persian New Year, I was so hungry for Mediterranean food.  

Hen House has been...",2018-09-14 12:40:13,Mira Y.,Hl0GFs8WRy7dFx89s_hi3g
8,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,Fxsp-mcnFhPZN4oXoAFGbg,0.6534,0.283,0.134,0.583,"WORST HUMMUS I'VE EVER HAD!!!

With that said, everything else was pretty good. Service was quick and friendly. The food was a really large portion. Cant...",2018-09-08 14:15:58,Trish P.,6eaY6cXabv63JSY52bq5Qg
9,TJljvcQrbgaHyrWRTJDSJA,Slapfish,33.64981,-117.83878,0.72,1166,$$,2,630,4.0,Seafood,Fish & Chips,4249 Campus Dr,Irvine,CA,92612,S4YUqarOrAgmVomHxxsaDA,0.8945,0.338,0.0,0.662,"Slapfish has really delicious food. You can't go wrong with any of their menu choices. The entrees are fresh, the sides are good, the sauces are flavorful....",2018-09-05 09:25:23,Zaina H.,JqEyA208ve_EkgDXXli6kw
